key,value,date
Lahore Blast,0.973656911697,03/29/16
Brexit,0.001,03/30/16
Irish General Election,0.001,03/30/16
Lahore Blast,0.533749458576,03/30/16
Brexit,0.001,03/31/16
Irish General Election,0.001,03/31/16
Lahore Blast,0.304407718161,03/31/16
Brexit,0.001,04/01/16
Irish General Election,0.001,04/01/16
Lahore Blast,0.711536354361,04/01/16
Brexit,0.001,04/02/16
Irish General Election,0.001,04/02/16
Lahore Blast,0.770543761694,04/02/16
Brexit,0.001,04/03/16
Irish General Election,0.001,04/03/16
Lahore Blast,0.781025508978,04/03/16
Brexit,0.001,04/04/16
Irish General Election,0.001,04/04/16
Lahore Blast,0.772539789243,04/04/16
Brexit,0.001,04/05/16
Irish General Election,0.001,04/05/16
Lahore Blast,0.858315982187,04/05/16
Brexit,0.001,04/06/16
Irish General Election,0.001,04/06/16
Lahore Blast,0.001,04/06/16
Brexit,0.001,04/07/16
Irish General Election,0.001,04/07/16
Lahore Blast,0.001,04/07/16
Brexit,0.001,04/08/16
Irish General Election,0.001,04/08/16
Lahore Blast,0.001,04/08/16
Brexit,0.001,04/09/16
Irish General Election,0.001,04/09/16
Lahore Blast,0.001,04/09/16
Brexit,0.001,04/10/16
Irish General Election,0.001,04/10/16
Lahore Blast,0.001,04/10/16
Brexit,0.001,04/11/16
Irish General Election,0.001,04/11/16
Lahore Blast,0.001,04/11/16
Brexit,0.001,04/12/16
Irish General Election,0.001,04/12/16
Lahore Blast,0.001,04/12/16
Brexit,0.001,04/13/16
Irish General Election,0.001,04/13/16
Lahore Blast,0.001,04/13/16
Brexit,0.001,04/14/16
Irish General Election,0.001,04/14/16
Lahore Blast,0.001,04/14/16
Brexit,0.001,04/15/16
Irish General Election,0.001,04/15/16
Lahore Blast,0.001,04/15/16
Brexit,0.001,04/16/16
Irish General Election,0.001,04/16/16
Lahore Blast,0.001,04/16/16
Brexit,0.001,04/17/16
Irish General Election,0.001,04/17/16
Lahore Blast,0.001,04/17/16
Brexit,0.001,04/18/16
Irish General Election,0.001,04/18/16
Lahore Blast,0.001,04/18/16
Brexit,0.001,04/19/16
Irish General Election,0.001,04/19/16
Lahore Blast,0.001,04/19/16
Brexit,0.001,04/20/16
Irish General Election,0.001,04/20/16
Lahore Blast,0.001,04/20/16
Brexit,0.001,04/21/16
Irish General Election,0.001,04/21/16
Lahore Blast,0.001,04/21/16
Brexit,0.001,04/22/16
Irish General Election,0.001,04/22/16
Lahore Blast,0.001,04/22/16
Brexit,0.001,04/23/16
Irish General Election,0.001,04/23/16
Lahore Blast,0.001,04/23/16
Brexit,0.001,04/24/16
Irish General Election,0.001,04/24/16
Lahore Blast,0.001,04/24/16
Brexit,0.001,04/25/16
Irish General Election,0.001,04/25/16
Lahore Blast,0.001,04/25/16
Brexit,0.001,04/26/16
Irish General Election,0.001,04/26/16
Lahore Blast,0.001,04/26/16
Brexit,0.001,04/27/16
Irish General Election,0.001,04/27/16
Lahore Blast,0.001,04/27/16
Brexit,0.001,04/28/16
Irish General Election,0.001,04/28/16
Lahore Blast,0.001,04/28/16
Brexit,0.001,04/29/16
Irish General Election,0.001,04/29/16
Lahore Blast,0.001,04/29/16
Brexit,0.001,04/30/16
Irish General Election,0.001,04/30/16
Lahore Blast,0.001,04/30/16
Brexit,0.001,05/01/16
Irish General Election,0.001,05/01/16
Lahore Blast,0.001,05/01/16
Brexit,0.001,05/02/16
Irish General Election,0.001,05/02/16
Lahore Blast,0.001,05/02/16
Brexit,0.001,05/03/16
Irish General Election,0.001,05/03/16
Lahore Blast,0.001,05/03/16
Brexit,0.001,05/04/16
Irish General Election,0.001,05/04/16
Lahore Blast,0.001,05/04/16
Brexit,0.001,05/05/16
Irish General Election,0.001,05/05/16
Lahore Blast,0.001,05/05/16
